transaction_id,mls_listing_number,property_address_full,listing_office_name,listing_office_address,listing_office_phone,property_type,status_current,transaction_type,list_price,bed_bath_info,square_feet,property_features_list,listing_date,days_on_market,listing_agent_name,listing_agent_email,listing_agent_phone,listing_agent_commission_rate,selling_agent_name,selling_agent_email,selling_agent_phone,offer_date,offer_amount,final_price,accepted_date,closing_date,commission_total,commission_split_info,payout_status,lease_terms,monthly_rent,security_deposit,lease_start_end,marketing_spend,lead_source,campaign_type,documents_required,inspection_date,appraisal_amount,client_buyer_info,client_seller_info,client_contact_details,appointment_history,showing_dates,appointment_outcomes,notes_agent,notes_transaction,special_conditions
TXN-2025-001,MLS8202793,536 Atlantic Ave Brooklyn NY 11211,Dream Homes Brooklyn,345 Court St Brooklyn NY 11231,(718) 555-0400,Co-op,SOLD,sale,642174,1BR/2BA,1030,"elevator, doorman",Nov 14 2024,79,William White,wwhite@dreamhomesnyc.com,(718) 555-0174,3,Mark Martinez,mmartinez@eliterealty.com,(718) 555-7983,12/1/2024,614312,614312,December 4 2024,1/18/2025,31050,"Listing: 15525, Selling: 15525",Pending,,,,,1640,Social Media,Online Marketing,"Survey, Title Report, Appraisal, Disclosure",12/24/2024,673178,Nancy Williams | Artist | Budget 0.5M-0.7M | First NYC purchase,David Martin | Real Estate Investor | Downsizing | Owned 11 years,Nancy Williams: nwilliams@outlook.com | (464) 555-5033,11/22/24 - Initial showing - With advisor - Had concerns | 11/26/2024 - Second visit - With spouse - Very interested | 2024/12/13 - Third viewing - With family - Very interested | December 13 2024 - Final walkthrough - With spouse - Ready to offer,11/17/24 | 2024/12/1,Interested | Very interested,Smooth transaction expected,Estate sale proceeding smoothly,Flexible closing date negotiated
TXN-2025-002,MLS8408828,746 Washington St Jersey City NJ 07204,Dream Homes NJ,890 Bergen Ave Jersey City NJ 07306,(201) 555-0300,TH,SOLD,sale,757779,2BR/1.5BA,872,"terrace, elevator, parking, gym",December 19 2024,9,Daniel Garcia,dgarcia@dreamhomesnyc.com,(201) 555-0116,2.5,Michael White,mwhite@metroproperties.com,(201) 555-9751,December 27 2024,736366,736366,January 1 2025,February 24 2025,40371,"Listing: 20185, Selling: 20186",Pending,,,,,6136,Open House,Community Event,"Survey, Contract, Appraisal",1/18/25,777154,Michael Jackson | Attorney | Budget 0.6M-0.9M | Investment property,Anthony Davis | Homeowner | Estate liquidation | Owned 2 years,Michael Jackson: mjackson@gmail.com | (777) 555-1161,December 25 2024 - Initial showing - With advisor - Had concerns | Jan 8 2025 - Second visit - With spouse - Very interested,12/26/24 | 1/3/2025,Interested | Very interested,Buyers are pre-approved and motivated,Seller flexible on closing date,Flexible closing date negotiated
TXN-2025-003,MLS8569213,512 Washington St Jersey City NJ 07200,Dream Homes NJ,890 Bergen Ave Jersey City NJ 07306,(201) 555-0300,TH,RENTED,rental,7093,Studio/1BA,663,"doorman, garden, terrace, elevator",Nov 26 2024,58,Karen Johnson,kjohnson@dreamhomesnyc.com,(201) 555-0171,15,,,,,,7093,,,12767,Listing agent only 12767,Pending,6-month lease utilities included,7093,14186,6/27/25 - 12/27/25,8817,Website,Community Event,"References, Credit check, Employment verification",,,Nancy Taylor | Attorney | Budget 6383-7802 monthly | Looking for 6-month lease,Patricia Martinez | Real Estate Investor | Downsizing | Owned 10 years,Nancy Taylor: ntaylor@hotmail.com | (346) 555-8969,Dec 3 2024 - Initial showing - Buyer alone - Ready to offer | December 11 2024 - Second visit - Buyer alone - Loved the space | 12/26/2024 - Third viewing - Buyer alone - Ready to offer | 2024/12/24 - Final walkthrough - Buyer alone - Ready to offer,2024/12/3 | 12/12/2024 | December 12 2024 | 12/20/2024 | Jan 7 2025,Interested | Very interested | Not interested,Perfect match for their requirements,Quick close needed for relocation,Inspection contingency waived
TXN-2025-004,MLS8102422,285 Smith St Brooklyn NY 11213,Dream Homes Brooklyn,345 Court St Brooklyn NY 11231,(718) 555-0400,Condo,SOLD,sale,1471966,1BR/1.5BA,1617,"concierge, parking, elevator",11/17/2024,42,Mark Moore,mmoore@dreamhomesnyc.com,(718) 555-0125,3,Christopher Kim,ckim@luxuryrealty.com,(718) 555-8044,December 17 2024,1424829,1424829,December 18 2024,2025/2/6,76004,Listing 50% Selling 50% of 76004,Pending,,,,,11132,Website,Email Campaign,"Survey, Appraisal, Inspection, Contract",12/21/2024,1487949,Mark Moore | Artist | Budget 1.3M-1.7M | Investment property,Maria Martinez | Developer | Relocating for work | Owned 10 years,Mark Moore: mmoore@outlook.com | (729) 555-4229,November 26 2024 - Initial showing - Buyer alone - Had concerns | 2024/12/4 - Second visit - With advisor - Very interested | 12/13/2024 - Third viewing - With spouse - Ready to offer | 12/17/24 - Final walkthrough - With family - Had concerns,Nov 26 2024 | November 30 2024 | 12/17/2024 | 2024/12/9 | Dec 25 2024,Interested | Very interested | Not interested,Family excited about the neighborhood,Seller flexible on closing date,Subject to board approval
TXN-2025-005,MLS8561588,914 Court St Brooklyn NY 11230,Dream Homes Brooklyn,345 Court St Brooklyn NY 11231,(718) 555-0400,TH,RENTED,rental,6432,3BR/1BA,1332,"views, concierge, parking, renovated",11/23/2024,8,Betty Thomas,bthomas@dreamhomesnyc.com,(718) 555-0181,12,,,,,,6432,,,9262,Listing agent only 9262,Pending,12-month lease utilities included,6432,6432,3/18/25 - 3/18/26,4791,Walk-in,Community Event,"Bank statements, Credit check, References, Lease agreement",,,Mark Williams | Artist | Budget 5788-7075 monthly | Looking for 12-month lease,Mark Johnson | Homeowner | Estate liquidation | Owned 10 years,Mark Williams: mwilliams@outlook.com | (759) 555-8571,12/1/2024 - Initial showing - With advisor - Very interested | Dec 9 2024 - Second visit - With spouse - Had concerns,2024/11/26 | 12/2/2024 | 12/19/24 | Dec 18 2024 | Dec 31 2024,Interested | Very interested | Not interested,Buyers are pre-approved and motivated,Corporate relocation timeline tight,As-is purchase agreed
TXN-2025-006,MLS8532881,320 Greenwich Ave Fairfield CT 06902,Dream Homes CT,1200 Post Rd Fairfield CT 06824,(203) 555-0500,SFH,ACTIVE,sale,809702,3BR/3BA,1879,"gym, laundry",12/26/2024,65,Betty Thompson,bthompson@dreamhomesnyc.com,(203) 555-0144,2.5,,,,,,,,,,,,,,,,9036,Walk-in,Direct Mail,"Inspection, Disclosure, Survey, Title Report, Appraisal",,,Helen Johnson | Finance Professional | Budget 0.7M-0.9M | Investment property,Susan Garcia | Estate | Downsizing | Owned 8 years,Helen Johnson: hjohnson@outlook.com | (376) 555-3468,1/4/2025 - Initial showing - Buyer alone - Ready to offer | January 9 2025 - Second visit - Buyer alone - Ready to offer | 1/18/2025 - Third viewing - With spouse - Loved the space,2024/12/31 | 1/15/25 | 2025/1/20,Interested | Very interested | Not interested,Client appreciates the quality renovations,Board approval process initiated,Cash purchase no contingencies
TXN-2025-007,MLS8946341,700 River Rd Jersey City NJ 07034,Dream Homes NJ,890 Bergen Ave Jersey City NJ 07306,(201) 555-0300,TH,ACTIVE,sale,285729,4BR/1.5BA,2067,"terrace, laundry",11/28/2024,93,Christopher Martinez,cmartinez@dreamhomesnyc.com,(201) 555-0185,2.5,,,,,,,,,,,,,,,,9065,Open House,Community Event,"Survey, Disclosure, Title Report",,,Karen Rodriguez | Finance Professional | Budget 0.2M-0.3M | Investment property,Christopher Rodriguez | Estate | Portfolio adjustment | Owned 10 years,Karen Rodriguez: krodriguez@yahoo.com | (300) 555-4961,Dec 3 2024 - Initial showing - With family - Loved the space | 2024/12/10 - Second visit - With family - Loved the space,2024/12/8 | December 10 2024 | Dec 21 2024 | 1/5/2025 | January 8 2025,Interested | Very interested | Not interested,Client loved the location and amenities,Quick close needed for relocation,As-is purchase agreed
TXN-2025-008,MLS8457049,951 Washington St Newark NJ 07257,Dream Homes NJ,890 Bergen Ave Jersey City NJ 07306,(201) 555-0300,Condo,ACTIVE,sale,635751,Studio/3BA,584,"views, storage",2011/9/24,112,Jennifer Anderson,janderson@dreamhomesnyc.com,(201) 555-0108,3,,,,,,,,,,,,,,,,14795,Referral,Online Marketing,"Contract, Inspection, Survey, Title Report",,,Karen Johnson | Real Estate Investor | Budget 0.5M-0.7M | First NYC purchase,Christopher Thomas | Corporate Owner | Upgrading to larger home | Owned 8 years,Karen Johnson: kjohnson@yahoo.com | (546) 555-8597,2024/11/18 - Initial showing - With family - Very interested | Nov 29 2024 - Second visit - With family - Very interested | 12/2/2024 - Third viewing - With spouse - Very interested,Nov 12 2024 | 11/25/24 | 2024/11/30,Interested | Very interested | Not interested,Smooth transaction expected,Corporate relocation timeline tight,Subject to board approval
TXN-2025-009,MLS8915729,162 East 86th St Unit 7B New York NY 10032,Dream Homes Manhattan,120 Broadway Suite 2701 New York NY 10271,(212) 555-0100,TH,RENTED,rental,9439,2BR/3BA,1558,"terrace, renovated",2024/11/23,37,Helen Martinez,hmartinez@dreamhomesnyc.com,(212) 555-0183,15,,,,,,9439,,,16990,Listing agent only 16990,Pending,24-month lease parking included,9439,9439,8/13/25 - 8/13/27,3482,Referral,Direct Mail,"Bank statements, Credit check, Lease agreement, Employment verification",,,Jennifer Williams | Professor | Budget 8495-10382 monthly | Looking for 24-month lease,Karen Harris | Real Estate Investor | Downsizing | Owned 6 years,Jennifer Williams: jwilliams@outlook.com | (231) 555-8317,November 28 2024 - Initial showing - With spouse - Had concerns | December 12 2024 - Second visit - With advisor - Had concerns | 12/11/2024 - Third viewing - Buyer alone - Loved the space,12/2/24 | 12/6/2024 | Dec 13 2024,Interested | Very interested | Not interested,Great chemistry between buyer and seller,Seller flexible on closing date,Subject to board approval
TXN-2025-010,MLS8447640,773 Monroe St Newark NJ 07220,Dream Homes NJ,890 Bergen Ave Jersey City NJ 07306,(201) 555-0300,Condo,RENTED,rental,1739,2BR/2.5BA,2360,"elevator, parking, storage",12/14/2024,72,Maria Jackson,mjackson@dreamhomesnyc.com,(201) 555-0137,10,,,,,,1739,,,2086,Listing agent only 2086,PAID,24-month lease utilities included,1739,2608.5,3/22/25 - 3/22/27,2899,Social Media,Direct Mail,"Lease agreement, References, Employment verification",,,Lisa Harris | Finance Professional | Budget 1565-1912 monthly | Looking for 24-month lease,Nancy Anderson | Developer | Upgrading to larger home | Owned 12 years,Lisa Harris: lharris@yahoo.com | (847) 555-3054,12/24/2024 - Initial showing - With advisor - Loved the space | December 26 2024 - Second visit - Buyer alone - Loved the space | Jan 6 2025 - Third viewing - With advisor - Very interested | Jan 23 2025 - Final walkthrough - With spouse - Loved the space,12/22/24 | 1/3/2025,Interested | Very interested,Family excited about the neighborhood,Board approval process initiated,Flexible closing date negotiated
